"accession","pref_name","standar_type","chembl_id_ligand","canonical_smiles (Canonical)","Activity_type"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL356850","Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL126384","Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL126623","Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL126791","Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL128987","Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL338114","Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL3806143","Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL36967","Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL40734","Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL66031","Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL39337","Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL172652","Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL447331","Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL2087359","Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL1198370","Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL2087355","Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL2087356","Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL2087357","Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL93051","Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL40130","Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL39355","Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL38199","Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL366580","Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL63786","Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL173498","Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL424093","Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1","Active"
"P00533","Epidermal growth factor receptor erbB1","IC50","CHEMBL2425736","Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1","Active"
