molecule_chembl_id,type,relation,value,units,value_nM
CHEMBL322970,IC50,=,0.38,uM,380.0
CHEMBL112564,IC50,=,6.92,uM,6920.0
CHEMBL321421,IC50,=,0.41,uM,410.0
CHEMBL388978,IC50,=,0.16,uM,160.0
CHEMBL114582,IC50,>,250.0,uM,250000.0
CHEMBL115875,IC50,=,9.6,uM,9600.0
CHEMBL113447,IC50,>,250.0,uM,250000.0
CHEMBL325353,IC50,=,0.1,uM,100.0
CHEMBL113168,IC50,=,1.16,uM,1160.0
CHEMBL112483,IC50,=,9.3,uM,9300.0
CHEMBL323944,IC50,=,0.24,uM,240.0
CHEMBL113272,IC50,=,0.1,uM,100.0
CHEMBL112819,IC50,=,2.1,uM,2100.0
CHEMBL111895,IC50,=,17.0,uM,17000.0
CHEMBL323012,IC50,=,11.7,uM,11700.0
CHEMBL326705,IC50,=,0.28,uM,280.0
CHEMBL111298,IC50,=,0.004,uM,4.0
CHEMBL326688,IC50,=,0.14,uM,140.0
CHEMBL325817,IC50,=,0.014,uM,14.0
CHEMBL326208,IC50,=,0.014,uM,14.0
CHEMBL333829,IC50,=,0.031,uM,31.0
CHEMBL111005,IC50,=,0.006,uM,6.0
CHEMBL324268,IC50,=,0.037,uM,37.0
CHEMBL110000,IC50,=,0.065,uM,65.0
CHEMBL109977,IC50,=,0.008,uM,8.0
CHEMBL109834,IC50,=,0.015,uM,15.0
CHEMBL423323,IC50,=,0.02,uM,20.0
CHEMBL111620,IC50,=,0.026,uM,26.0
CHEMBL326971,IC50,=,0.01,uM,10.0
CHEMBL109944,IC50,=,0.045,uM,45.0
CHEMBL450340,IC50,=,0.48,uM,480.0
CHEMBL430694,IC50,=,0.031,uM,31.0
CHEMBL109981,IC50,=,0.007,uM,7.0
CHEMBL308293,IC50,=,0.4,uM,400.0
CHEMBL76741,IC50,>,10.0,uM,10000.0
CHEMBL77264,IC50,=,0.46,uM,460.0
CHEMBL75680,IC50,=,0.65,uM,650.0
CHEMBL75680,IC50,=,1.5,uM,1500.0
CHEMBL307941,IC50,=,1.0,uM,1000.0
CHEMBL305627,IC50,=,15.0,uM,15000.0
CHEMBL310036,IC50,=,6.8,uM,6800.0
CHEMBL77267,IC50,=,20.0,uM,20000.0
CHEMBL76942,IC50,=,2.5,uM,2500.0
CHEMBL76740,IC50,=,1.1,uM,1100.0
CHEMBL77584,IC50,=,6.5,uM,6500.0
CHEMBL80785,IC50,=,1.2,uM,1200.0
CHEMBL77416,IC50,=,15.0,uM,15000.0
CHEMBL77066,IC50,=,1.1,uM,1100.0
CHEMBL77002,IC50,=,60.0,uM,60000.0
CHEMBL76941,IC50,=,0.6,uM,600.0
CHEMBL306498,IC50,=,0.92,uM,920.0
CHEMBL77540,IC50,=,0.5,uM,500.0
CHEMBL305901,IC50,=,2.3,uM,2300.0
CHEMBL77469,IC50,=,1.0,uM,1000.0
CHEMBL76660,IC50,>,100.0,uM,100000.0
CHEMBL77210,IC50,=,7.2,uM,7200.0
CHEMBL306263,IC50,=,1.9,uM,1900.0
CHEMBL312065,IC50,=,85.0,uM,85000.0
CHEMBL77095,IC50,=,1.8,uM,1800.0
CHEMBL74015,IC50,=,1.2,uM,1200.0
CHEMBL78264,IC50,=,27.0,uM,27000.0
CHEMBL419273,IC50,=,2.0,uM,2000.0
CHEMBL311935,IC50,>,100.0,uM,100000.0
CHEMBL77697,IC50,=,4.8,uM,4800.0
CHEMBL77217,IC50,=,0.75,uM,750.0
CHEMBL76427,IC50,=,18.0,uM,18000.0
CHEMBL306347,IC50,=,8.0,uM,8000.0
CHEMBL306355,IC50,=,5.9,uM,5900.0
CHEMBL78165,IC50,=,1.7,uM,1700.0
CHEMBL74133,IC50,=,3.0,uM,3000.0
CHEMBL80644,IC50,=,3.2,uM,3200.0
CHEMBL77458,IC50,=,12.0,uM,12000.0
CHEMBL78232,IC50,>,100.0,uM,100000.0
CHEMBL77947,IC50,=,6.8,uM,6800.0
CHEMBL307943,IC50,=,2.6,uM,2600.0
CHEMBL77590,IC50,=,3.3,uM,3300.0
CHEMBL309347,IC50,=,0.5,uM,500.0
CHEMBL77641,IC50,=,0.52,uM,520.0
CHEMBL307392,IC50,>,100.0,uM,100000.0
CHEMBL76559,IC50,=,0.8,uM,800.0
CHEMBL77211,IC50,=,6.0,uM,6000.0
CHEMBL37811,IC50,=,1.4,uM,1400.0
CHEMBL37342,IC50,=,1.2,uM,1200.0
CHEMBL416975,IC50,=,8.0,uM,8000.0
CHEMBL40439,IC50,=,6.7,uM,6700.0
CHEMBL40842,IC50,>,250.0,uM,250000.0
CHEMBL39357,IC50,>,250.0,uM,250000.0
CHEMBL288588,IC50,=,235.0,uM,235000.0
CHEMBL37826,IC50,>,250.0,uM,250000.0
CHEMBL290436,IC50,=,29.0,uM,29000.0
CHEMBL288064,IC50,=,0.39,uM,390.0
CHEMBL40022,IC50,=,29.0,uM,29000.0
CHEMBL40004,IC50,=,12.0,uM,12000.0
CHEMBL290211,IC50,=,11.0,uM,11000.0
CHEMBL40021,IC50,=,0.82,uM,820.0
CHEMBL37652,IC50,=,198.0,uM,198000.0
CHEMBL37689,IC50,=,1.1,uM,1100.0
CHEMBL39803,IC50,>,250.0,uM,250000.0
CHEMBL307152,IC50,>,20.0,uM,20000.0
CHEMBL26616,IC50,=,10.0,uM,10000.0
CHEMBL337300,IC50,=,0.009,uM,9.0
CHEMBL24537,IC50,=,4.0,uM,4000.0
CHEMBL26101,IC50,=,20.0,uM,20000.0
CHEMBL24311,IC50,=,6.0,uM,6000.0
CHEMBL296586,IC50,=,0.023,uM,23.0
CHEMBL24753,IC50,=,5.0,uM,5000.0
CHEMBL284125,IC50,=,65.0,uM,65000.0
CHEMBL26218,IC50,=,5.0,uM,5000.0
CHEMBL24721,IC50,=,3.0,uM,3000.0
CHEMBL24338,IC50,=,10.0,uM,10000.0
CHEMBL361708,IC50,=,0.01,uM,10.0
CHEMBL286009,IC50,=,10.0,uM,10000.0
CHEMBL336961,IC50,=,0.018,uM,18.0
CHEMBL26000,IC50,=,100.0,uM,100000.0
CHEMBL26551,IC50,=,35.0,uM,35000.0
CHEMBL24693,IC50,=,10.0,uM,10000.0
CHEMBL23840,IC50,=,6.0,uM,6000.0
CHEMBL25820,IC50,=,4.0,uM,4000.0
CHEMBL417835,IC50,=,6.0,uM,6000.0
CHEMBL26274,IC50,=,3.0,uM,3000.0
CHEMBL24073,IC50,=,8.0,uM,8000.0
CHEMBL25927,IC50,=,75.0,uM,75000.0
CHEMBL323657,IC50,=,0.12,uM,120.0
CHEMBL77217,IC50,=,0.75,uM,750.0
CHEMBL24773,IC50,=,70.0,uM,70000.0
CHEMBL287864,IC50,=,2.0,uM,2000.0
CHEMBL284861,IC50,=,2.0,uM,2000.0
CHEMBL284861,IC50,>,100.0,uM,100000.0
CHEMBL24494,IC50,=,4.0,uM,4000.0
CHEMBL284365,IC50,=,10.0,uM,10000.0
CHEMBL25829,IC50,=,25.0,uM,25000.0
CHEMBL26241,IC50,=,7.0,uM,7000.0
CHEMBL134501,IC50,=,6.0,uM,6000.0
CHEMBL26515,IC50,=,2.0,uM,2000.0
CHEMBL24167,IC50,>,100.0,uM,100000.0
CHEMBL115220,IC50,>,10000.0,nM,10000.0
CHEMBL105620,IC50,=,0.008,uM,8.0
CHEMBL103506,IC50,=,0.004,uM,4.0
CHEMBL388978,IC50,,,uM,
CHEMBL388978,IC50,=,0.089,uM,89.0
CHEMBL421217,IC50,,,uM,
CHEMBL106384,IC50,=,0.033,uM,33.0
CHEMBL103421,IC50,=,0.031,uM,31.0
CHEMBL321315,IC50,=,0.004,uM,4.0
CHEMBL102714,IC50,=,0.007,uM,7.0
CHEMBL103055,IC50,=,0.025,uM,25.0
CHEMBL103055,IC50,=,0.018,uM,18.0
CHEMBL321529,IC50,=,0.04,uM,40.0
CHEMBL105477,IC50,=,0.006,uM,6.0
CHEMBL106061,IC50,=,0.071,uM,71.0
CHEMBL319265,IC50,=,0.11,uM,110.0
CHEMBL103628,IC50,=,0.043,uM,43.0
CHEMBL342402,IC50,=,2.5,uM,2500.0
CHEMBL344719,IC50,>,100.0,uM,100000.0
CHEMBL142826,IC50,=,0.5,uM,500.0
CHEMBL143743,IC50,=,5.0,uM,5000.0
CHEMBL140045,IC50,=,10.0,uM,10000.0
CHEMBL106072,IC50,=,2.0,uM,2000.0
CHEMBL423377,IC50,>,100.0,uM,100000.0
CHEMBL332575,IC50,=,4.38,uM,4380.0
CHEMBL103009,IC50,=,1.0,uM,1000.0
CHEMBL143273,IC50,=,2.0,uM,2000.0
CHEMBL102953,IC50,=,5.0,uM,5000.0
CHEMBL341572,IC50,=,1.0,uM,1000.0
CHEMBL341655,IC50,=,8.0,uM,8000.0
CHEMBL143419,IC50,=,5.0,uM,5000.0
CHEMBL143525,IC50,=,50.0,uM,50000.0
CHEMBL143090,IC50,=,2.5,uM,2500.0
CHEMBL142415,IC50,>,100.0,uM,100000.0
CHEMBL335357,IC50,=,3.0,uM,3000.0
CHEMBL357136,IC50,=,0.5,uM,500.0
CHEMBL142824,IC50,=,2.5,uM,2500.0
CHEMBL142711,IC50,=,1.0,uM,1000.0
CHEMBL359135,IC50,=,50.0,uM,50000.0
CHEMBL142327,IC50,=,75.0,uM,75000.0
CHEMBL141190,IC50,=,1.5,uM,1500.0
CHEMBL413032,IC50,=,2.5,uM,2500.0
CHEMBL356459,IC50,=,5.0,uM,5000.0
CHEMBL140061,IC50,=,1.0,uM,1000.0
CHEMBL343821,IC50,=,25.0,uM,25000.0
CHEMBL142764,IC50,=,10.0,uM,10000.0
CHEMBL105712,IC50,=,50.0,uM,50000.0
CHEMBL132223,IC50,=,0.62,uM,620.0
CHEMBL340935,IC50,=,0.017,uM,17.0
CHEMBL340776,IC50,=,0.034,uM,34.0
CHEMBL340259,IC50,=,0.22,uM,220.0
CHEMBL131254,IC50,=,0.403,uM,403.0
CHEMBL130774,IC50,=,0.051,uM,51.0
CHEMBL336179,IC50,=,0.026,uM,26.0
CHEMBL334555,IC50,=,0.138,uM,138.0
CHEMBL337642,IC50,=,0.048,uM,48.0
CHEMBL131035,IC50,=,0.136,uM,136.0
CHEMBL50226,IC50,=,420.0,uM,420000.0
CHEMBL296682,IC50,=,2.5,uM,2500.0
CHEMBL296682,IC50,=,2.5,uM,2500.0
CHEMBL44545,IC50,=,0.5,uM,500.0
CHEMBL46440,IC50,=,2.5,uM,2500.0
CHEMBL48081,IC50,>,1000.0,uM,1000000.0
CHEMBL48082,IC50,=,350.0,uM,350000.0
CHEMBL14762,IC50,=,130.0,uM,130000.0
CHEMBL50498,IC50,=,1.3,uM,1300.0
CHEMBL296271,IC50,=,2.0,uM,2000.0
CHEMBL44541,IC50,=,2.0,uM,2000.0
CHEMBL281957,IC50,>,1.0,uM,1000.0
CHEMBL368193,IC50,=,0.049,uM,49.0
CHEMBL366668,IC50,=,0.27,uM,270.0
CHEMBL178945,IC50,=,0.37,uM,370.0
CHEMBL368416,IC50,=,0.15,uM,150.0
CHEMBL175956,IC50,=,0.2,uM,200.0
CHEMBL368895,IC50,=,1.9,uM,1900.0
CHEMBL360304,IC50,=,0.89,uM,890.0
CHEMBL359808,IC50,=,1.3,uM,1300.0
CHEMBL359486,IC50,=,3.9,uM,3900.0
CHEMBL426587,IC50,=,4.8,uM,4800.0
CHEMBL367106,IC50,=,2.4,uM,2400.0
CHEMBL367107,IC50,=,2.5,uM,2500.0
CHEMBL175845,IC50,=,1.2,uM,1200.0
CHEMBL360573,IC50,=,0.46,uM,460.0
CHEMBL367150,IC50,=,5.1,uM,5100.0
CHEMBL178785,IC50,=,3.4,uM,3400.0
CHEMBL181293,IC50,>,50.0,uM,50000.0
CHEMBL180714,IC50,>,50.0,uM,50000.0
CHEMBL180814,IC50,=,28.0,uM,28000.0
CHEMBL181606,IC50,>,50.0,uM,50000.0
CHEMBL361231,IC50,=,50.0,uM,50000.0
CHEMBL178268,IC50,=,12.0,uM,12000.0
CHEMBL178769,IC50,=,8.7,uM,8700.0
CHEMBL181114,IC50,=,4.0,uM,4000.0
CHEMBL361833,IC50,=,5.3,uM,5300.0
CHEMBL361348,IC50,=,40.0,uM,40000.0
CHEMBL178179,IC50,=,22.0,uM,22000.0
CHEMBL362814,IC50,=,12.0,nM,12.0
CHEMBL181464,IC50,=,38.0,nM,38.0
CHEMBL178737,IC50,=,2.6,nM,2.6
CHEMBL361204,IC50,,,nM,
CHEMBL361007,IC50,=,11.0,nM,11.0
CHEMBL369316,IC50,=,297.0,nM,297.0
CHEMBL362588,IC50,=,1.6,nM,1.6
CHEMBL181031,IC50,=,0.3,nM,0.3
CHEMBL178851,IC50,=,8.7,nM,8.7
CHEMBL369572,IC50,=,53.0,nM,53.0
CHEMBL361948,IC50,=,111.0,nM,111.0
CHEMBL368246,IC50,=,5.0,nM,5.0
CHEMBL181339,IC50,=,7.7,nM,7.7
CHEMBL179725,IC50,=,13.0,nM,13.0
CHEMBL361567,IC50,=,0.08,uM,80.0
CHEMBL360878,IC50,=,0.437,uM,437.0
CHEMBL182560,IC50,=,0.537,uM,537.0
CHEMBL183077,IC50,=,0.13,uM,130.0
CHEMBL362030,IC50,=,0.316,uM,316.0
CHEMBL181959,IC50,=,0.03,uM,30.0
CHEMBL182891,IC50,=,0.32,uM,320.0
CHEMBL360340,IC50,=,1.82,uM,1820.0
CHEMBL181147,IC50,>,34.0,uM,34000.0
CHEMBL181856,IC50,=,1.95,uM,1950.0
CHEMBL427325,IC50,>,35.0,uM,35000.0
CHEMBL183742,IC50,=,2.4,uM,2400.0
CHEMBL360534,IC50,=,0.17,uM,170.0
CHEMBL182904,IC50,=,1.0,uM,1000.0
CHEMBL182283,IC50,=,0.617,uM,617.0
CHEMBL183504,IC50,=,0.575,uM,575.0
CHEMBL361196,IC50,=,0.005,uM,5.0
CHEMBL183038,IC50,=,0.02,uM,20.0
CHEMBL183171,IC50,=,0.55,uM,550.0
CHEMBL182007,IC50,=,0.24,uM,240.0
CHEMBL185922,IC50,=,0.219,uM,219.0
CHEMBL182419,IC50,=,0.005,uM,5.0
CHEMBL363058,IC50,=,1.3,nM,1.3
CHEMBL363058,IC50,=,15.0,nM,15.0
CHEMBL362588,IC50,=,2.0,nM,2.0
CHEMBL362588,IC50,=,1.6,nM,1.6
CHEMBL186290,IC50,=,5.2,nM,5.2
CHEMBL186290,IC50,=,41.0,nM,41.0
CHEMBL178737,IC50,=,1.3,nM,1.3
CHEMBL178737,IC50,=,2.6,nM,2.6
CHEMBL362814,IC50,=,1.6,nM,1.6
CHEMBL362814,IC50,=,12.0,nM,12.0
CHEMBL362558,IC50,=,1.1,nM,1.1
CHEMBL362558,IC50,=,0.7,nM,0.7
CHEMBL388978,IC50,=,56.0,nM,56.0
CHEMBL388978,IC50,,,nM,
CHEMBL59030,IC50,,,nM,
CHEMBL62136,IC50,,,nM,
CHEMBL189938,IC50,>,5000.0,nM,5000.0
CHEMBL364666,IC50,>,5000.0,nM,5000.0
CHEMBL190901,IC50,>,5000.0,nM,5000.0
CHEMBL191263,IC50,>,5000.0,nM,5000.0
CHEMBL189228,IC50,>,5000.0,nM,5000.0
CHEMBL191419,IC50,>,2000.0,nM,2000.0
